[-7.65494510e-01  9.24922126e+02],[ 0.5544565 58.0987992]
[-7.80508615e-01  9.32098004e+02],[ 0.5738397  43.70904673]
[-7.83077822e-01  9.34381106e+02],[ 0.56224304 52.47103775]
[-7.99989294e-01  9.41667937e+02],[ 0.56902408 47.73301079]
[-7.87948858e-01  9.32927449e+02],[ 0.5710306  43.65089815]
[-7.87365160e-01  9.33638235e+02],[ 0.56552083 48.30586084]
[-8.17735343e-01  9.46138219e+02],[ 0.54623323 68.44811076]
[-8.15666661e-01  9.44172257e+02],[ 0.54872774 67.82334008]
[-8.01130730e-01  9.37195721e+02],[ 0.59303895 27.61158147]
[-8.04729396e-01  9.37380252e+02],None
[-8.01697019e-01  9.33492413e+02],[  0.6509434  -18.77358491]
[-8.28167999e-01  9.44374219e+02],[ 0.5765774  40.81947351]
[-7.72027380e-01  9.16400581e+02],[ 0.57768933 40.06356064]
[-7.87570698e-01  9.22543872e+02],[0.62376245 4.69311899]
[-7.41472788e-01  9.02497786e+02],[ 0.53559246 99.55839344]
[-7.22947338e-01  8.95109828e+02],[ 0.57577847 49.99840073]
[-6.74774698e-01  8.71861149e+02],[ 0.55016274 72.87191947]
[-6.02760184e-01  8.44828357e+02],[ 0.54474541 77.31426208]
[-6.40695283e-01  8.59456453e+02],[ 0.53262762 90.2622497 ]
[-7.40797513e-01  8.95866922e+02],[ 0.53676536 88.45211798]
[-7.27478390e-01  8.91473454e+02],[ 0.56868266 58.47828018]
[-7.53131581e-01  8.94386237e+02],None
[-7.17938171e-01  8.73947243e+02],None
[-6.90426048e-01  8.59255724e+02],None
[-6.9532783e-01  8.5802224e+02],None
[-6.98363481e-01  8.58030601e+02],[  0.72277228 -76.5049505 ]
[-6.56486716e-01  8.49283601e+02],[0.62066133 7.8111088 ]
[-6.57678904e-01  8.49305211e+02],[0.62395167 4.29874315]
[-6.49193819e-01  8.47661409e+02],[ 0.60624325 22.48453985]
[-6.68831169e-01  8.54051948e+02],[ 0.60999684 19.5908825 ]
None,[ 0.58074546 44.85940026]
[-6.43478261e-01  8.41234783e+02],[ 0.58360066 42.70439365]
None,[ 0.58525024 41.94620405]
None,[ 0.60956303 20.29570212]
None,[  0.65137615 -14.55045872]
None,[  0.69465649 -48.6259542 ]
None,None
None,None
None,[0.62280702 8.10526316]
None,[  0.67920362 -35.98034459]
None,[  0.65778686 -20.73849772]
None,[  0.65169653 -13.00117784]
None,[  0.66056192 -21.40594002]
None,[0.62316239 7.05433168]
None,[0.62349251 7.66673915]
None,[ 0.61630649 11.51846234]
None,[  0.6511653  -14.69421301]
None,None
None,None
None,[0.62745098 6.94117647]
None,[  0.6681403  -23.59791927]
None,[0.62799072 9.73573496]
None,[ 0.62341245 12.87978083]
None,[0.6281482  7.89467139]
None,[0.6275825  9.48860552]
None,[ 0.61849685 17.01601345]
None,[ 0.60176014 32.86168354]
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,[ 0.55963632 78.14032809]
None,[ 0.61468516 23.50900105]
None,None
None,None
None,None
None,None
None,None
None,[  0.73701943 -82.80124727]
None,[  0.70407241 -56.23028051]
None,[  0.69306695 -49.71700802]
[-5.70009323e-01  7.99196179e+02],[  0.67568978 -32.48087512]
[-5.90622570e-01  8.10820707e+02],[  0.68146302 -36.58704367]
[-5.76389419e-01  8.07108919e+02],[ 0.62015791 16.16248124]
[-5.81224912e-01  8.12336122e+02],[ 0.60227526 32.86467976]
[-5.82271121e-01  8.15933315e+02],[0.630082  8.8411981]
[-5.81234584e-01  8.17030470e+02],[ 0.64775585 -8.21571808]
[-6.05838320e-01  8.32105839e+02],None
[-6.19337684e-01  8.42010669e+02],None
[-6.39059170e-01  8.52965522e+02],None
[-6.39101743e-01  8.51604141e+02],[ 0.64116724 -3.14796047]
[-6.71569115e-01  8.64372539e+02],[  0.65642256 -16.6986074 ]
[-6.72062686e-01  8.63688790e+02],[ 0.63631075 -3.0487922 ]
[-6.56845907e-01  8.54642796e+02],[  0.6556422  -19.68583384]
[-6.70704689e-01  8.62303704e+02],[0.62680351 4.2645977 ]
[-6.87066506e-01  8.69690789e+02],[ 0.61499601 13.9615221 ]
[-6.65724496e-01  8.60326490e+02],[ 0.62267805 10.0571198 ]
[-7.05151709e-01  8.78912421e+02],[ 0.61366026 16.37177292]
[-7.06314391e-01  8.78642450e+02],[  0.65354331 -19.04724409]
[-6.72897918e-01  8.64908276e+02],None
[-6.82617450e-01  8.70115682e+02],None
[-6.78680487e-01  8.68669574e+02],[ 0.63972529 -9.90388561]
[-6.94502992e-01  8.75306658e+02],[  0.64939902 -16.0189031 ]
[-6.82713344e-01  8.72055176e+02],[  0.65998453 -25.69966121]
[-6.80403043e-01  8.74247388e+02],[ 0.61294841 11.94539741]
[-7.09878454e-01  8.89192781e+02],[ 0.6164543  12.18172383]
[-7.08657743e-01  8.89166480e+02],[ 0.58012962 42.36840823]
[-7.26616900e-01  8.97331863e+02],[ 0.58812934 36.0185221 ]
[-7.43504303e-01  9.03705724e+02],[ 0.5930911  29.89901215]
[-7.33624123e-01  9.01135466e+02],[0.61904762 3.85714286]
[-7.25770133e-01  8.98616137e+02],None
[-7.33680273e-01  9.00841656e+02],None
[-7.49736578e-01  9.08669374e+02],None
[-7.25328650e-01  8.96011945e+02],[0.61729058 4.0316899 ]
[-7.33307327e-01  8.99758573e+02],[  0.6420957  -14.52701381]
[-7.36253590e-01  9.02042156e+02],[  0.63782999 -10.6673278 ]
[-7.35647971e-01  9.00980134e+02],[ 0.60881428 12.7488654 ]
[-7.42204958e-01  9.05678868e+02],[ 0.57529796 44.75044643]
[-7.48633200e-01  9.08182967e+02],[ 0.58305904 35.21812982]
[-7.17870061e-01  8.94363743e+02],[ 0.56314555 54.9413643 ]
[-7.32121008e-01  9.00364726e+02],[ 0.57236433 46.48153884]
[-7.05183175e-01  8.87832722e+02],None
[-7.54020585e-01  9.11709713e+02],None
[-7.70393652e-01  9.19399015e+02],[  0.70243915 -57.37528313]
[-7.49916090e-01  9.10640697e+02],[  0.67145214 -32.88064197]
